customer_id,age,gender,gdpr_email,gdpr_sms,gdpr_inapp,overdue_days,bank_segment,card_type,points_balance,tech_purchase_ratio,total_tx_count,is_control_group,send_channel,targeted,campaign_clicked,recency,frequency,monetary,churn_prob,is_churn_next_90d
100000,56,F,1,1,0,36.0,Mass Market,Standard Debit,325,0.14285714285714285,35,0,sms,0,0,14,35,3304.0,0.4040946468264246,0
100001,69,M,0,0,1,0.0,Mass Market,Standard Debit,92,0.08333333333333333,48,0,in_app,0,0,1,48,3785.8399999999997,0.3296502610376111,0
100002,46,F,0,0,1,0.0,Mass Market,Standard Debit,215,0.10869565217391304,46,0,in_app,0,0,27,46,3118.68,0.3978080390700646,0
100003,32,F,0,0,1,0.0,Mass Market,Standard Debit,134,0.11904761904761904,42,0,in_app,0,0,14,42,2710.36,0.38186959960864164,0
100004,60,F,1,1,1,0.0,Student,Gold Credit,13,0.2916666666666667,48,0,email,1,0,9,48,3035.46,0.35012168787443726,0
100005,25,F,1,0,1,70.0,Private Banking,Debit Plus,2149,0.22,50,0,email,0,0,3,50,18538.65,0.29745309730307423,0
100006,78,F,0,1,1,0.0,Mass Market,Standard Credit,61,0.10869565217391304,46,0,sms,0,0,21,46,4072.99,0.3855526819309674,1
100007,38,M,1,0,1,0.0,Student,Debit Plus,21,0.11627906976744186,43,0,in_app,0,0,44,43,2376.1800000000003,0.4524036651447285,0
100008,56,M,1,1,1,0.0,Affluent,Standard Debit,169,0.22448979591836735,49,0,email,1,0,59,49,12196.1,0.4650567525816248,1
100009,75,F,0,1,1,0.0,Mass Market,Gold Credit,254,0.02857142857142857,35,0,in_app,0,0,62,35,1460.52,0.5210682027623894,1
100010,36,M,0,1,0,0.0,Affluent,Debit Plus,491,0.1956521739130435,46,0,sms,1,0,55,46,7481.76,0.46143100989856384,0
100011,40,F,0,1,1,50.0,Mass Market,Debit Plus,117,0.09523809523809523,42,0,in_app,0,0,80,42,2621.86,0.54153687478988,0
100012,28,F,0,0,0,0.0,Student,Standard Credit,46,0.08333333333333333,48,0,,0,0,1,48,2112.82,0.33031857427311884,0
100013,28,M,0,0,1,92.0,Mass Market,Standard Credit,34,0.06818181818181818,44,0,in_app,0,0,21,44,3420.4500000000003,0.3930878098859705,1
100014,41,M,1,0,0,0.0,Student,Gold Credit,114,0.1951219512195122,41,0,email,1,0,44,41,1817.75,0.4581953672679721,1
100015,70,F,0,1,1,0.0,Mass Market,Gold Credit,125,0.13043478260869565,46,0,in_app,0,0,13,46,2345.76,0.3652991833231112,0
100016,53,M,1,0,1,127.0,Student,Debit Plus,23,0.13636363636363635,44,0,email,0,0,22,44,2240.87,0.39566308285774643,0
100017,57,F,1,1,1,0.0,Student,Debit Plus,7,0.18181818181818182,44,0,in_app,1,0,80,44,3352.71,0.5359921579928023,1
100018,41,M,0,0,1,0.0,Mass Market,Gold Credit,37,0.10810810810810811,37,0,in_app,0,0,50,37,2106.55,0.48809253341892045,1
100019,20,F,1,0,0,0.0,Mass Market,Standard Debit,506,0.07317073170731707,41,0,email,0,0,99,41,2280.2,0.5853504177634516,1
100020,39,M,1,1,1,69.0,Mass Market,Debit Plus,122,0.09803921568627451,51,0,email,0,0,8,51,3524.57,0.335408331425772,0
100021,70,F,1,0,0,0.0,Student,Debit Plus,64,0.12244897959183673,49,0,email,0,0,26,49,3124.1,0.3868721052568781,0
100022,19,M,0,1,1,26.0,Mass Market,Standard Credit,17,0.14893617021276595,47,0,sms,0,0,6,47,5087.97,0.34638862543987964,1
100023,41,F,1,1,1,0.0,Mass Market,Debit Plus,206,0.04838709677419355,62,0,email,0,0,8,62,7144.15,0.29490221905782615,0
100024,61,M,0,1,0,0.0,Mass Market,Standard Credit,509,0.10204081632653061,49,0,sms,0,0,15,49,3190.13,0.35383685282159155,1
100025,47,F,1,1,1,0.0,Mass Market,Debit Plus,71,0.125,40,0,email,0,0,6,40,4034.31,0.37060408381558796,0
100026,55,F,0,0,1,0.0,Affluent,Debit Plus,692,0.22916666666666666,48,0,in_app,1,1,16,48,7983.54,0.10716501593678512,0
100027,19,M,0,1,0,0.0,Mass Market,Gold Credit,563,0.023255813953488372,43,0,sms,0,0,65,43,3124.29,0.4952538294857746,1
100028,77,M,1,1,0,0.0,Student,Standard Debit,64,0.14285714285714285,42,0,email,0,0,34,42,1498.67,0.43119577675446263,1
100029,38,M,1,0,0,0.0,Mass Market,Standard Credit,13,0.10416666666666667,48,0,email,0,0,35,48,3341.81,0.412923620241587,0
100030,50,F,1,0,0,0.0,Mass Market,Standard Credit,95,0.044444444444444446,45,0,email,0,0,41,45,3649.23,0.4369393185940255,1
100031,29,F,0,0,1,0.0,Mass Market,Standard Debit,18,0.13636363636363635,44,0,in_app,0,0,12,44,3498.18,0.37158113622875577,0
100032,75,F,1,0,0,0.0,Mass Market,Standard Credit,395,0.06,50,0,email,0,0,62,50,4018.68,0.46544824883864355,0
100033,39,M,0,0,1,0.0,Student,Debit Plus,49,0.09302325581395349,43,0,in_app,0,0,1,43,3043.02,0.34813213148446776,1
100034,78,M,1,1,0,45.0,Mass Market,Debit Plus,626,0.07317073170731707,41,0,email,0,0,52,41,2489.2799999999997,0.47008042188338317,1
100035,61,F,0,1,1,0.0,Affluent,Gold Credit,16,0.1,40,0,in_app,0,0,29,40,7898.5,0.4269587095440332,1
100036,42,F,0,1,1,0.0,Affluent,Standard Debit,440,0.29411764705882354,34,0,sms,1,0,13,34,6395.719999999999,0.40357983337188563,0
100037,66,X,0,1,1,0.0,Student,Standard Credit,6,0.17391304347826086,46,0,in_app,1,0,33,46,1580.8700000000001,0.4153372593502339,0
100038,44,M,0,0,1,0.0,Student,Standard Credit,22,0.1111111111111111,45,0,in_app,0,0,6,45,1929.55,0.3534588398397468,0
100039,76,F,1,1,1,46.0,Mass Market,Standard Debit,35,0.13043478260869565,46,0,sms,0,0,3,46,5870.0599999999995,0.3424521633249501,0
100040,59,M,1,0,0,0.0,Affluent,Debit Plus,319,0.16666666666666666,48,0,email,1,0,36,48,7200.27,0.4108933433077986,0
100041,45,M,0,1,0,0.0,Mass Market,Debit Plus,342,0.12121212121212122,33,0,sms,0,0,16,33,5602.16,0.4158214365175119,1
100042,77,F,0,1,1,40.0,Mass Market,Standard Debit,35,0.08163265306122448,49,0,in_app,0,0,2,49,2847.22,0.32932241867346634,1
100043,33,F,1,1,0,0.0,Mass Market,Standard Credit,128,0.06382978723404255,47,0,sms,0,0,18,47,3580.38,0.373761463791879,0
100044,32,X,1,0,1,0.0,Student,Gold Credit,127,0.175,40,0,email,1,1,105,40,3109.06,0.35892091987670893,1
100045,79,M,1,0,1,174.0,Student,Gold Credit,335,0.14285714285714285,42,0,email,0,0,61,42,1844.98,0.4924759313887538,1
100046,79,M,1,0,1,0.0,Student,Standard Debit,14,0.125,40,0,in_app,0,0,8,40,2269.43,0.37626312896006975,1
100047,64,F,1,1,0,0.0,Mass Market,Standard Credit,548,0.14583333333333334,48,0,sms,0,0,17,48,2625.42,0.3616725858720944,1
100048,79,F,1,0,1,0.0,Mass Market,Standard Credit,61,0.11428571428571428,35,0,email,0,0,52,35,1417.29,0.49971762326982183,1
100049,68,M,0,1,1,79.0,Mass Market,Standard Credit,107,0.061224489795918366,49,0,in_app,0,0,1,49,5622.4800000000005,0.3258609042372126,0
100050,61,M,1,1,1,0.0,Mass Market,Standard Credit,421,0.15555555555555556,45,0,in_app,1,0,21,45,2389.4,0.38389383300711777,0
100051,72,M,1,0,1,0.0,Mass Market,Debit Plus,309,0.17142857142857143,35,0,in_app,1,0,63,35,5049.93,0.5226845915266978,1
100052,69,F,1,1,1,0.0,Mass Market,Standard Debit,390,0.1282051282051282,39,0,email,0,0,137,39,2202.28,0.685966026157203,1
100053,74,M,1,0,1,0.0,Mass Market,Standard Credit,322,0.11627906976744186,43,0,in_app,0,0,3,43,3806.94,0.3489967555916112,0
100054,20,M,0,1,1,0.0,Mass Market,Standard Credit,54,0.05128205128205128,39,0,in_app,0,0,78,39,2788.92,0.5483355411914432,0
100055,54,M,0,0,1,0.0,Mass Market,Debit Plus,164,0.10638297872340426,47,0,in_app,0,0,20,47,4639.04,0.37806935391674734,1
